id,elevation,ozone,NO2,azimuth,zenith,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,water_vapor,scene,incidence_azimuth,incidence_zenith,AOT_550
638,200,292,0.182,147.5,29.7,0.3165,0.2966,0.2459,0.2169,0.2086,0.2493,0.283,0.2611,0.2874,0.0613,0.0016,0.1263,0.0631,2884,H,103.6,4.7,0.367
639,235,300,0.321,158.6,43.5,0.1067,0.0782,0.0768,0.0423,0.0893,0.3068,0.3996,0.394,0.4486,0.0733,0.0009,0.1817,0.0717,2249,D,286.9,9,0.032
640,824,300,0.182,149.4,37.5,0.1457,0.1467,0.1571,0.2218,0.2385,0.2679,0.3093,0.3092,0.3684,0.0708,0.0014,0.2517,0.1259,2461,E,180.6,2.8,0.17
641,87,294,0.194,170.5,49.5,0.1303,0.1021,0.0987,0.0874,0.1302,0.2181,0.2609,0.2711,0.3049,0.0957,0.0016,0.2412,0.145,987,D,285.6,6.3,0.063
642,104,287,0.272,167.5,51.8,0.1679,0.1394,0.12,0.1145,0.1036,0.1258,0.1384,0.1206,0.1364,0.0285,0.0019,0.1199,0.0954,2027,E,270.4,5,0.39
643,91,254,0.304,141.5,43.4,0.1926,0.1671,0.1414,0.1219,0.1347,0.1521,0.1756,0.1509,0.1929,0.0476,0.0013,0.1398,0.0927,1895,E,99.4,4.9,0.69
644,393,384,0.149,145,45.7,0.6115,0.6867,0.6584,0.7377,0.794,0.8231,0.8325,0.7481,0.8174,0.3855,0.0145,0.1277,0.1027,484,K,107.4,9,0.099
645,456,367,0.138,159.7,56.5,0.2631,0.2514,0.2303,0.2388,0.2411,0.2461,0.2518,0.2466,0.2527,0.2262,0.1037,0.2697,0.2429,164,E,272.2,4.9,0.034
646,373,317,0.156,172.9,39.9,0.1331,0.0927,0.067,0.0433,0.0566,0.0975,0.1112,0.1102,0.1148,0.0415,0.0014,0.0466,0.0273,675,C,209.1,3,0.024
647,8,359,0.199,143.5,30.1,0.1549,0.1597,0.1562,0.1748,0.1826,0.2291,0.2521,0.2304,0.2551,0.0848,0.0092,0.2272,0.1641,1419,G,135.2,3.3,0.245
648,1410,339,0.185,137.7,26.7,0.2459,0.3252,0.3393,0.3867,0.3789,0.4456,0.478,0.4545,0.4395,0.1774,0.0025,0.3964,0.2883,829,I,106.1,6.8,0.092
649,1100,292,0.139,160,59.1,0.1865,0.1809,0.1911,0.2357,0.2507,0.2678,0.2853,0.287,0.3039,0.1912,0.0116,0.3623,0.2961,412,J,284.3,7.3,0.024
650,3376,323,0.136,156.3,50.5,0.849,0.9564,0.9181,0.9801,1.0303,1.0599,1.0025,0.9885,1.0203,0.5725,0.0201,0.0923,0.0975,503,K,285,8.1,0.013
651,5,304,0.185,224.2,64,0.4014,0.4144,0.3684,0.38,0.38,0.3862,0.3957,0.4175,0.4022,0.1941,0.0063,0.3623,0.2957,1046,I,177.4,2.9,0.136
652,800,285,0.168,103.9,19.8,0.1831,0.1579,0.1408,0.1289,0.1396,0.1811,0.2057,0.1862,0.2182,0.0397,0.0015,0.2041,0.1473,2857,E,184,2.8,1.141
653,360,396,0.157,167.7,61.2,0.6053,0.7329,0.6839,0.7896,0.8042,0.8207,0.8162,0.8287,0.8105,0.4097,0.0126,0.1316,0.1348,301,K,291.2,9.4,0.082
654,1280,295,0.183,157.5,41.5,0.1314,0.1233,0.1318,0.1625,0.1704,0.2126,0.2238,0.2204,0.2344,0.0765,0.001,0.2966,0.2252,1352,E,287.3,8.9,0.08
655,680,301,0.305,147.3,35.4,0.1619,0.1813,0.1826,0.205,0.2058,0.2337,0.2589,0.2532,0.2607,0.086,0.0021,0.2338,0.1979,1078,H,286.1,9.4,0.038
656,5,314,0.197,215,60.2,0.2078,0.1991,0.2055,0.2367,0.2335,0.2521,0.2765,0.2642,0.2853,0.0681,0.0042,0.3563,0.3047,1391,E,284.7,4.3,0.158
657,8,347,0.199,189.4,48.4,0.4651,0.5035,0.4897,0.5052,0.4865,0.4895,0.4854,0.4776,0.4948,0.122,0.0022,0.0986,0.0711,1533,K,117.2,10.4,0.057
658,2868,277,0.155,119.6,25.4,0.228,0.1519,0.1329,0.1177,0.1306,0.1673,0.1978,0.1867,0.208,0.0785,0.0016,0.1435,0.097,3803,G,140.9,3.1,0.052
659,80,324,0.227,142.2,35.1,0.2504,0.2416,0.231,0.2391,0.2316,0.262,0.2749,0.2647,0.2692,0.1543,0.101,0.2611,0.2265,1394,E,281.5,5.7,0.05
660,656,298,0.192,169.4,42.9,0.1476,0.1268,0.1027,0.0869,0.0766,0.0839,0.0944,0.0964,0.0968,0.0246,0.0055,0.0643,0.046,2513,C,169.5,2.8,0.115
661,60,253,0.169,124.5,31.9,0.288,0.2521,0.2359,0.1925,0.2212,0.3734,0.4546,0.42,0.4841,0.13,0.1012,0.2729,0.162,4798,G,226.4,3.5,0.565
662,680,303,0.382,161.2,65.5,0.1625,0.1588,0.1414,0.1571,0.1606,0.1527,0.222,0.1855,0.1666,0.0888,0.0024,0.1835,0.152,276,E,103.4,5.5,0.048
663,344,309,0.206,121.3,31.8,0.1492,0.099,0.0943,0.0606,0.1055,0.284,0.369,0.3639,0.4078,0.0858,0.0055,0.1949,0.0842,2437,D,284.2,7.2,0.145
664,12,273,0.107,101.6,25.1,0.1566,0.1501,0.1619,0.2164,0.2283,0.2581,0.2982,0.2711,0.3151,0.0388,0.001,0.3163,0.2082,3705,E,283.9,8.4,0.093
665,5,444,0.175,213.9,79,0.7446,0.6415,0.5476,0.6049,0.6377,0.6296,0.687,0.5927,0.6483,0.4347,0.0123,0.0987,0.1048,152,K,267.6,3.8,0.117
666,125,376,0.354,158.3,49.5,0.1578,0.1426,0.1203,0.1123,0.1216,0.1581,0.1742,0.1781,0.1879,0.0782,0.0013,0.1736,0.1401,695,E,106.3,7.9,0.141
667,3376,307,0.163,120.7,24,0.3309,0.3245,0.337,0.3703,0.3351,0.4268,0.4286,0.3905,0.4041,0.2159,0.0026,0.1333,0.1063,801,K,105,9,0.036
668,393,389,0.135,157.6,48.7,0.4803,0.5482,0.5333,0.586,0.6282,0.6108,0.6392,0.6021,0.6596,0.268,0.0039,0.0982,0.0911,616,K,107.4,8.8,0.083
669,1655,309,0.202,157.1,18.7,0.7117,0.6478,0.6357,0.6958,0.7254,0.7563,0.7774,0.7389,0.7926,0.4746,0.0236,0.5726,0.454,1421,I,103.8,7.8,0.054
670,225,437,0.071,186.6,76.4,0.6464,0.6672,0.6055,0.6717,0.6927,0.6884,0.6833,0.6883,0.6832,0.4188,0.0444,0.1245,0.124,159,H,124.4,10.2,0.052
671,15,288,0.132,71.7,19.2,0.1561,0.1459,0.1361,0.1144,0.1526,0.212,0.2567,0.2313,0.2766,0.0313,0.0009,0.1906,0.1271,3681,G,284.9,8.9,0.65
672,104,318,0.229,131.9,23.5,0.1867,0.1735,0.1774,0.1982,0.2244,0.2389,0.2668,0.2393,0.2908,0.0536,0.0019,0.3003,0.2275,2529,E,241.5,3.8,0.155
673,293,324,0.162,152.8,54.1,0.1538,0.1308,0.1159,0.1143,0.1358,0.1694,0.1672,0.1595,0.1872,0.073,0.0015,0.2086,0.167,871,E,174.2,2.8,0.082
674,35,290,0.243,177.8,61.2,0.6243,0.5712,0.5452,0.5927,0.5992,0.6052,0.6206,0.5904,0.6236,0.3283,0.0033,0.4713,0.3478,889,I,103.5,8.1,0.102
675,1656,282,0.174,161.3,41.9,0.1437,0.1322,0.1319,0.1574,0.1705,0.1831,0.2023,0.2026,0.2215,0.1069,0.0039,0.2971,0.2378,651,E,279.1,5.6,0.096
676,190,359,0.259,153.6,32.2,0.1227,0.0823,0.0716,0.0402,0.0781,0.2367,0.297,0.2674,0.3047,0.122,0.0016,0.1284,0.0576,884,D,105.2,8.1,0.074
677,680,360,0.34,146.9,35.1,0.1828,0.1764,0.177,0.1886,0.2009,0.2665,0.2596,0.2579,0.2886,0.0965,0.0015,0.2239,0.1779,1001,H,102,5.5,0.048
678,60,336,0.722,157.2,44.9,0.1479,0.1329,0.1057,0.0943,0.1015,0.1137,0.1209,0.1131,0.1132,0.0647,0.0098,0.0934,0.072,538,B,284.5,7.8,0.097
679,4,274,0.105,80.3,25.7,0.1989,0.1568,0.144,0.1245,0.1393,0.2282,0.2805,0.2819,0.3293,0.0319,0.0053,0.228,0.1348,4498,E,102.3,8.5,0.385
680,4,270,0.101,114.5,26.3,0.1791,0.1454,0.1494,0.1197,0.1511,0.2574,0.3104,0.3009,0.3543,0.0401,0.004,0.2197,0.1223,4124,D,98.4,5.3,0.219
681,1170,299,0.194,140.2,36.5,0.4119,0.4254,0.3974,0.3985,0.4066,0.4813,0.5341,0.5145,0.5682,0.1333,0.0016,0.4272,0.3401,2963,I,284.7,8.1,0.124
682,49,283,0.176,180.3,69.9,0.1498,0.1124,0.0761,0.0443,0.0382,0.0275,0.0227,0.0205,0.0204,0.0082,0.0013,0.0068,0.0044,646,F,110.6,4.3,0.031
683,122,310,0.21,156.5,38.9,0.1488,0.1255,0.1077,0.1053,0.1134,0.1323,0.1336,0.1216,0.1514,0.0537,0.0016,0.1329,0.0982,1722,G,161.9,2.8,0.225
684,125,332,0.366,165.9,73.3,0.1784,0.1383,0.0991,0.0833,0.0842,0.111,0.1147,0.1071,0.122,0.0356,0.002,0.1115,0.0789,1017,B,286.6,7.6,0.069
685,423,333,0.206,145.7,26.3,0.1482,0.1313,0.1205,0.1171,0.1224,0.1561,0.1688,0.153,0.1791,0.0404,0.0015,0.1709,0.1223,2102,E,287.5,9.8,0.231
686,60,359,0.307,152.6,53.6,0.1759,0.1687,0.1668,0.1379,0.1471,0.1626,0.1641,0.2063,0.2384,0.1438,0.0038,0.2467,0.1673,209,E,103.4,8.4,0.085
687,4,260,0.263,153.8,43.9,0.2704,0.2688,0.3083,0.3926,0.4028,0.426,0.455,0.4284,0.4748,0.1309,0.0019,0.5322,0.4392,1475,E,104.1,8.9,0.212
688,15,262,0.133,122.2,31.1,0.2701,0.2538,0.2544,0.2697,0.2754,0.3076,0.3277,0.3183,0.3423,0.1793,0.1014,0.3312,0.2868,1225,E,100,5.6,0.794
689,4,280,0.244,105.1,22.1,0.2471,0.2526,0.2862,0.3585,0.3457,0.3704,0.4131,0.3734,0.4349,0.0496,0.0021,0.4938,0.3831,3936,E,284.2,8.5,0.698
690,80,272,0.253,162,52,0.1487,0.1345,0.1211,0.1257,0.1267,0.1463,0.1667,0.1523,0.1632,0.0573,0.0008,0.1505,0.1228,815,E,279.9,5.7,0.099
691,225,398,0.183,195.5,59.1,0.5929,0.5588,0.5004,0.558,0.5742,0.5573,0.5741,0.557,0.5715,0.3174,0.0072,0.1699,0.1595,235,K,259.1,3.3,0.071
692,1040,260,0.112,101,32.9,0.165,0.1668,0.1811,0.2121,0.2196,0.2442,0.2486,0.2548,0.2898,0.0467,0.0019,0.3488,0.2904,3100,E,102.5,6.4,0.132
693,60,288,0.711,159.2,61.3,0.1646,0.1399,0.1105,0.0965,0.093,0.1077,0.1138,0.093,0.1116,0.0416,0.0015,0.0946,0.0706,1034,B,283.6,7.8,0.141
694,59,302,0.195,143.7,34.9,0.1528,0.1377,0.1308,0.1496,0.1685,0.1977,0.2202,0.215,0.2499,0.0723,0.0013,0.3325,0.2387,1418,E,180.5,2.8,0.06
695,456,369,0.147,156.8,54.1,0.1766,0.146,0.1241,0.1247,0.1413,0.1505,0.1605,0.1359,0.1572,0.1176,0.0043,0.1684,0.1409,236,G,104.3,9.7,0.055
696,60,349,0.282,136.8,22.3,0.1584,0.1681,0.1802,0.1388,0.1491,0.1842,0.2037,0.2255,0.2741,0.0719,0.0015,0.2717,0.1681,1576,E,284.7,7.8,0.205
697,423,364,0.206,156.5,43.7,0.1404,0.1131,0.1022,0.1017,0.0991,0.1147,0.1241,0.1185,0.1206,0.0743,0.0015,0.1314,0.1086,600,E,268.2,4.8,0.084
698,670,315,0.158,153.4,41.4,0.139,0.1099,0.0994,0.0869,0.1106,0.1722,0.1931,0.1864,0.2075,0.0766,0.0103,0.1594,0.1032,982,E,105.8,9.5,0.107
699,10,290,0.477,168.2,63.2,0.1524,0.1178,0.0757,0.0378,0.0312,0.0252,0.0194,0.0172,0.0137,0.0077,0.0013,0.003,0.0011,1005,F,242.1,3.8,0.047
700,2868,280,0.158,101.1,22.9,0.0951,0.0707,0.0707,0.0414,0.0853,0.2286,0.281,0.2788,0.312,0.1024,0.001,0.1426,0.0646,1739,D,100,4.8,0.025
701,10,293,0.193,161.6,46,0.1803,0.1339,0.122,0.1708,0.1761,0.2516,0.2993,0.2627,0.3064,0.0435,0.0012,0.2517,0.1566,2581,E,242.4,3.9,0.149
702,456,353,0.181,149.2,31.1,0.1718,0.1739,0.1695,0.1773,0.189,0.2137,0.2176,0.2009,0.2287,0.0981,0.0015,0.2292,0.187,917,G,105.5,8.6,0.044
703,5,420,0.179,214.1,69,0.8184,0.6907,0.5707,0.6385,0.6753,0.6795,0.7281,0.6594,0.7353,0.4874,0.0175,0.1293,0.1323,137,K,225.9,2.8,0.054
704,235,325,0.291,153.7,51.1,0.1313,0.109,0.1024,0.0965,0.1467,0.249,0.2981,0.3053,0.3291,0.1957,0.0077,0.2535,0.1479,253,D,215.6,3.2,0.056
705,60,346,0.357,145.2,31.1,0.3622,0.3386,0.3172,0.3122,0.3314,0.4001,0.4445,0.4296,0.4627,0.2296,0.0431,0.1457,0.123,2262,I,163.9,2.8,0.174
706,3376,335,0.145,141.5,37.1,0.7066,0.789,0.7782,0.8329,0.8317,0.8459,0.7971,0.7554,0.7465,0.4261,0.0162,0.0253,0.0198,501,K,104.2,8.1,0.061
707,4,286,0.25,102,19.1,0.2392,0.2496,0.2834,0.3541,0.3478,0.3732,0.4025,0.3766,0.4168,0.0813,0.0017,0.4592,0.3767,2390,G,284.9,8.8,0.441
708,235,304,0.297,174.6,38,0.1647,0.1354,0.1344,0.1085,0.141,0.2994,0.3829,0.3716,0.4193,0.097,0.0411,0.1943,0.0984,2646,H,287.2,8.9,0.091
709,225,285,0.118,194.6,73.2,0.2178,0.2045,0.1908,0.2205,0.2311,0.2352,0.25,0.2408,0.2537,0.0927,0.0044,0.2878,0.2538,551,E,257.5,3.3,0.083
710,1799,337,0.167,145.7,36.9,0.1531,0.141,0.1468,0.1985,0.2139,0.2326,0.2473,0.2444,0.2634,0.1597,0.0059,0.3789,0.3364,431,E,154.3,2.9,0.172
711,824,293,0.127,170.8,63,0.152,0.1311,0.1136,0.1295,0.1389,0.1479,0.1652,0.1659,0.1845,0.0791,0.0022,0.2727,0.2303,625,E,286.7,7.2,0.081
712,218,274,0.126,78.6,11.1,0.157,0.1411,0.1583,0.1857,0.2163,0.3054,0.3688,0.3331,0.3898,0.0433,0.0053,0.3751,0.2147,4064,E,102.9,8.6,0.251
713,156,325,0.433,167.5,70,0.194,0.1801,0.1547,0.1599,0.1802,0.2001,0.2148,0.1959,0.2217,0.0628,0.0021,0.2433,0.2211,902,E,287.5,9.8,0.122
714,705,292,0.204,157.6,44.5,0.18,0.1781,0.1822,0.1964,0.2001,0.196,0.2093,0.1913,0.2135,0.0583,0.0012,0.1982,0.1607,1457,H,165.7,2.8,0.029
715,521,314,0.162,160.2,59.8,0.163,0.1388,0.1229,0.1181,0.1476,0.1869,0.1983,0.186,0.2129,0.0593,0.0033,0.1778,0.125,1178,G,104.3,6.3,0.113
716,579,302,0.199,147.7,27.7,0.1337,0.0974,0.0804,0.0464,0.076,0.2113,0.2902,0.2779,0.3255,0.0432,0.001,0.1144,0.037,3627,D,285.2,7.2,0.134
717,35,308,0.237,165,65.2,0.1604,0.1176,0.071,0.0454,0.037,0.0343,0.0292,0.0251,0.0216,0.0096,0.001,0.0073,0.0148,595,F,285.4,7.6,0.152
718,456,282,0.148,68.8,29.6,0.5287,0.4298,0.4408,0.5101,0.538,0.5811,0.618,0.5366,0.6446,0.413,0.0998,0,0,0,A,108.2,11.3,0.268
719,680,296,0.195,155.1,37.2,0.1807,0.1873,0.1873,0.2025,0.1924,0.2278,0.2474,0.2172,0.2518,0.0518,0.006,0.2233,0.179,2342,H,189.4,2.8,0.219
720,225,297,0.167,196.6,63.7,0.2034,0.1932,0.1876,0.2185,0.2216,0.2308,0.2492,0.2367,0.2605,0.0734,0.0024,0.3002,0.2627,1034,E,205.9,2.7,0.122
721,5,413,0.181,240.2,70.6,0.7733,0.7193,0.6264,0.7118,0.7845,0.7699,0.7498,0.7196,0.7411,0.4336,0.0071,0.0859,0.0918,257,K,239.1,11.3,0.088
722,5,360,0.371,152.4,30.5,0.1761,0.1473,0.1364,0.1413,0.17,0.1853,0.1811,0.1617,0.1876,0.0636,0.001,0.2302,0.1975,1753,E,279.5,5.3,0.091
723,491,352,0.234,148.8,27.2,0.1269,0.1015,0.1012,0.0648,0.1169,0.3229,0.3986,0.3883,0.4386,0.1109,0.0028,0.1905,0.0831,1788,D,184.8,2.8,0.274
724,656,304,0.192,156.4,39,0.1702,0.16,0.1475,0.1509,0.1449,0.1577,0.1692,0.1701,0.1703,0.0454,0.0011,0.1924,0.1586,2208,H,170.6,2.8,0.067
725,456,302,0.169,151.3,39.9,0.1533,0.1574,0.1464,0.151,0.1585,0.1873,0.1809,0.172,0.2022,0.0675,0.0014,0.1985,0.1529,1263,G,105,9.6,0.057
726,20,263,0.1,92.2,32.5,0.4468,0.4657,0.4421,0.4448,0.4259,0.4306,0.4402,0.4293,0.4512,0.1651,0.1018,0.4232,0.3561,3012,I,284.7,8.4,0.268
727,225,288,0.131,196.1,70.7,0.2034,0.1901,0.1771,0.2044,0.2094,0.2203,0.2323,0.2164,0.24,0.0707,0.0031,0.2756,0.242,822,E,206.2,2.7,0.076
728,37,328,0.213,122.8,23.3,0.3274,0.3211,0.3083,0.3171,0.3543,0.3643,0.3584,0.331,0.3678,0.1699,0.1015,0.4301,0.3708,1982,E,103.8,9.5,0.061
729,5,363,0.198,245,63.1,0.3198,0.2469,0.2067,0.216,0.2275,0.2113,0.2092,0.207,0.2444,0.1109,0.0016,0.1023,0.0812,590,K,346.9,10.1,0.044
730,824,360,0.15,153.2,49.4,0.7252,0.7336,0.7017,0.7435,0.7364,0.7183,0.6834,0.6313,0.637,0.2457,0.0032,0.0181,0.0141,859,K,293.1,11,0.063
731,7,263,0.165,141.8,36,0.1329,0.1089,0.1064,0.0725,0.119,0.2673,0.3208,0.3038,0.3477,0.0976,0.0011,0.1693,0.0815,1645,D,211.6,3.1,0.306
732,4,277,0.242,131.9,30.6,0.2526,0.27,0.3148,0.3978,0.4051,0.4291,0.4519,0.4357,0.4689,0.1679,0.0019,0.524,0.4449,1041,E,285.2,8.5,0.234
733,377,286,0.183,143.1,29.1,0.2796,0.353,0.3677,0.4123,0.3433,0.3961,0.4464,0.3987,0.4157,0.0393,0.0014,0.3396,0.179,3585,E,284.9,9.9,0.163
734,293,292,0.182,159.4,46,0.16,0.1534,0.1505,0.157,0.1599,0.2116,0.234,0.2089,0.2419,0.0553,0.0054,0.2417,0.1672,1963,E,177,2.8,0.114
735,125,349,0.333,161.5,68.2,0.1823,0.1593,0.1245,0.1119,0.1128,0.1367,0.1472,0.1431,0.1514,0.0451,0.0059,0.1413,0.1112,1041,E,106.5,6,0.113
736,60,342,0.456,161.2,66.7,0.1611,0.1183,0.091,0.066,0.1035,0.2027,0.2372,0.2279,0.2418,0.0911,0.0011,0.1165,0.0696,665,D,163,2.9,0.047
737,1410,279,0.17,158.9,62.3,0.2848,0.2537,0.2344,0.2552,0.2636,0.2877,0.3013,0.2871,0.3166,0.131,0.0029,0.2863,0.2423,710,I,286.1,8.9,0.084
738,125,355,0.282,149.7,31,0.1463,0.1096,0.0864,0.0665,0.0671,0.097,0.1093,0.0953,0.1118,0.0212,0.0014,0.0601,0.0392,2756,C,268.6,4.7,0.236
739,631,337,0.217,140.1,23.4,0.425,0.4287,0.4126,0.4331,0.4432,0.498,0.5346,0.5184,0.5523,0.1735,0.0021,0.4536,0.3782,1487,I,120.5,3.7,0.161
740,59,308,0.195,140.4,26.3,0.1374,0.1141,0.1041,0.1206,0.1278,0.1448,0.1625,0.1572,0.1912,0.0429,0.0014,0.2946,0.2063,2044,E,103.7,7.7,0.061
741,273,377,0.207,148.3,40.9,0.2268,0.2036,0.1907,0.1963,0.22,0.2725,0.2934,0.2925,0.308,0.1972,0.0338,0.2373,0.1686,349,H,197.8,2.9,0.061
742,37,311,0.46,169.6,62.1,0.3232,0.2902,0.253,0.2617,0.2717,0.2852,0.2935,0.3353,0.3199,0.2289,0.023,0.3737,0.3144,573,H,104.2,4.7,0.065
743,225,330,0.198,191.5,54,0.192,0.1844,0.1874,0.2225,0.2281,0.2343,0.2471,0.2386,0.2559,0.0752,0.0016,0.3047,0.2702,1145,E,126.8,8.3,0.035
744,91,269,0.282,121.5,40.4,0.3059,0.3005,0.2724,0.2566,0.2405,0.2814,0.3096,0.289,0.3073,0.1406,0.1074,0.2634,0.2039,3084,H,106.8,4.2,0.849
745,5,424,0.178,223.3,71,0.8389,0.8127,0.6973,0.8073,0.8394,0.8513,0.8502,0.8583,0.873,0.5772,0.0242,0.111,0.1302,111,K,338.5,8.4,0.057
746,35,360,0.214,147.7,27.4,0.1342,0.1118,0.0793,0.0611,0.0518,0.054,0.0581,0.0541,0.0492,0.0208,0.0008,0.0389,0.0329,569,B,285.4,7.6,0.093
747,49,283,0.177,156.8,71.1,0.1684,0.1202,0.0805,0.0509,0.0444,0.0403,0.0349,0.0308,0.032,0.0208,0.009,0.0116,0.0125,1059,J,111.6,11,0.066
748,212,271,0.202,67.4,28.3,0.1789,0.1513,0.134,0.1221,0.134,0.2012,0.2251,0.2159,0.2724,0.0349,0.0012,0.2719,0.1766,3778,E,211.9,3.2,0.942
749,266,355,0.277,146,29.6,0.3564,0.2729,0.259,0.2712,0.301,0.3514,0.3812,0.3594,0.401,0.2448,0.0187,0.3578,0.2736,988,I,105,9.8,0.153
750,10,361,0.187,166.4,36.2,0.2299,0.2054,0.1868,0.1964,0.2085,0.2306,0.2445,0.2619,0.2697,0.1254,0.0063,0.261,0.179,1213,H,109.6,6.4,0.049
751,225,316,0.191,189.9,56.4,0.1872,0.1823,0.1874,0.2222,0.2265,0.2373,0.2507,0.2416,0.2638,0.0636,0.0017,0.3127,0.2662,1411,E,128.1,6.7,0.04
752,550,303,0.418,39.8,54.7,0.1473,0.11,0.089,0.0796,0.0888,0.106,0.1178,0.0911,0.1051,0.1006,0.0026,0.1024,0.0964,237,B,285.6,5.9,0.092
753,186,296,0.381,169.7,52.4,0.1364,0.0976,0.0712,0.0679,0.0797,0.0977,0.1367,0.1057,0.1307,0.0865,0.001,0.1482,0.1353,689,E,237,3.7,0.029
754,680,320,0.304,132.8,23.7,0.1621,0.1734,0.1793,0.1926,0.1991,0.2449,0.2655,0.2596,0.2747,0.0637,0.0012,0.2536,0.1932,1943,E,286,9.4,0.04
755,680,292,0.349,153.3,44.9,0.1596,0.1843,0.1904,0.2074,0.2033,0.2507,0.252,0.245,0.2562,0.0832,0.0013,0.2269,0.1709,775,E,103.4,5.5,0.052
756,7,407,0.111,186.5,72.7,0.5347,0.3285,0.2401,0.2215,0.2556,0.2584,0.2407,0.1806,0.2405,0.18,0.0025,0.0454,0.0382,293,K,134,7.4,0.057
757,-1,364,0.497,158.5,31.5,0.1226,0.0944,0.0861,0.0665,0.1073,0.2209,0.2752,0.2743,0.3107,0.1302,0.0011,0.1917,0.097,944,D,277.6,5.1,0.088
758,91,271,0.262,136.5,31.5,0.1656,0.1665,0.1527,0.1396,0.137,0.1681,0.2005,0.177,0.213,0.0238,0.0008,0.1621,0.1081,4651,E,107.9,4.2,0.245
759,33,282,0.497,167.3,70,0.1573,0.121,0.0848,0.0555,0.067,0.1105,0.1179,0.126,0.1189,0.0392,0.0058,0.0569,0.0269,1036,C,288.5,8.5,0.042
760,59,346,0.206,157,17.9,0.1536,0.1339,0.1197,0.1363,0.1547,0.1829,0.2078,0.1993,0.233,0.0703,0.0093,0.2749,0.2235,1340,E,178.4,2.8,0.168
761,1280,343,0.188,157.5,41.5,0.1393,0.1143,0.1193,0.1441,0.1592,0.1884,0.2042,0.1954,0.2057,0.1542,0.0074,0.2778,0.2245,152,E,105.4,6.6,0.037
762,6,296,0.23,167.6,71.4,0.1863,0.1481,0.1115,0.0865,0.0916,0.1001,0.1016,0.0971,0.1,0.0468,0.0013,0.0701,0.0445,942,B,219.2,3.2,0.086
763,1655,285,0.192,150.9,39.7,0.1526,0.1457,0.1544,0.1856,0.2056,0.237,0.2633,0.2565,0.2853,0.1292,0.0024,0.3636,0.2764,705,E,104.7,7.7,0.18
764,22,340,0.187,137.7,33.9,0.2064,0.189,0.1817,0.19,0.1924,0.2098,0.2571,0.2104,0.247,0.0685,0.0016,0.2446,0.1847,1387,H,103.8,6.2,0.158
765,225,336,0.199,187.2,53.3,0.2001,0.1831,0.1835,0.2123,0.2167,0.2188,0.2327,0.2301,0.24,0.0938,0.0016,0.2812,0.248,747,E,233.2,2.9,0.028
766,5,391,0.189,224.3,63.7,0.683,0.5741,0.5126,0.5581,0.6424,0.6096,0.5972,0.5399,0.6021,0.2882,0.0016,0.0639,0.0577,527,K,334.3,8.1,0.057
767,120,355,0.24,160.8,30.2,0.1381,0.1074,0.09,0.0649,0.0804,0.1788,0.224,0.2025,0.2466,0.0403,0.001,0.0909,0.0388,3034,D,289.5,10.1,0.484
768,843,296,0.139,174.2,61.6,0.1305,0.0955,0.0691,0.0635,0.0803,0.1028,0.1175,0.1165,0.1405,0.0549,0.0012,0.0999,0.0576,802,B,298.7,8.2,0.028
769,111,348,0.478,151.8,29.9,0.1425,0.1147,0.0959,0.0851,0.0905,0.1327,0.1658,0.1326,0.167,0.0504,0.0013,0.14,0.0992,1502,E,201.1,2.9,0.09
770,2868,253,0.2,137.8,42.3,0.0848,0.062,0.0549,0.0361,0.0682,0.151,0.1832,0.1928,0.2046,0.1307,0.0054,0.1056,0.046,298,D,106.8,4.2,0.018
771,125,326,0.288,154.9,35.2,0.1629,0.1364,0.1234,0.1118,0.1187,0.1753,0.2087,0.1998,0.2216,0.0368,0.0035,0.1979,0.1407,2632,E,270.3,4.7,0.228
772,111,301,0.203,168.3,60.9,0.1471,0.1184,0.0989,0.104,0.1284,0.1746,0.1943,0.2041,0.225,0.1071,0.0025,0.242,0.1453,430,E,106.5,4.4,0.048
773,11,321,0.194,144,31.1,0.1633,0.1245,0.1152,0.1324,0.1581,0.1777,0.1911,0.1798,0.1982,0.0508,0.0012,0.2315,0.2042,1856,E,194.7,2.8,0.134
774,5,405,0.184,233.9,67.8,0.7579,0.6002,0.5237,0.5728,0.5973,0.6726,0.6694,0.5473,0.6729,0.2961,0.0024,0.0828,0.0747,553,K,346.2,10.1,0.036
775,83,381,0.146,170.2,54.8,0.2808,0.229,0.1969,0.2034,0.2337,0.2714,0.2958,0.2938,0.3264,0.1819,0.0089,0.2492,0.1655,512,H,271,4.7,0.099
776,225,339,0.2,182.8,53.1,0.2249,0.1903,0.1929,0.2221,0.2251,0.2328,0.2452,0.2386,0.2553,0.0813,0.0015,0.2924,0.2565,1068,E,148.9,3.5,0.029
777,37,313,0.311,159.9,60.5,0.2053,0.2258,0.1986,0.2149,0.2472,0.2382,0.232,0.2195,0.2642,0.1123,0.0019,0.2746,0.2685,481,H,284,7.5,0.043
778,266,351,0.267,144.2,29,0.1821,0.1851,0.1773,0.1776,0.1771,0.2305,0.2664,0.249,0.2748,0.0554,0.0058,0.2784,0.2152,2130,E,221.6,3.3,0.359
779,144,288,0.219,89.7,21.6,0.1426,0.1437,0.1379,0.127,0.1456,0.2148,0.26,0.232,0.2758,0.0276,0.0033,0.1995,0.1176,4564,G,222.3,3.4,0.103
